library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib1,PSR_05_bin3,PSR,3,5,210623,931,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b3_S19_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b3_S19_R1_001.fastq.gz
lib1,PSR_05_bin4,PSR,4,5,210623,86,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b4_S20_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b4_S20_R1_001.fastq.gz
lib2,PSR_01_bin1,PSR,1,1,210623,205712,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b1_S21_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b1_S21_R1_001.fastq.gz
lib2,PSR_01_bin2,PSR,2,1,210623,1052179,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b2_S22_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b2_S22_R1_001.fastq.gz
lib2,PSR_01_bin3,PSR,3,1,210623,2587244,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b3_S23_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b3_S23_R1_001.fastq.gz
lib2,PSR_01_bin4,PSR,4,1,210623,1258113,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b4_S24_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s1_b4_S24_R1_001.fastq.gz
lib2,PSR_02_bin1,PSR,1,2,210623,92181,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b1_S25_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b1_S25_R1_001.fastq.gz
lib2,PSR_02_bin2,PSR,2,2,210623,1595278,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b2_S26_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b2_S26_R1_001.fastq.gz
lib2,PSR_02_bin3,PSR,3,2,210623,2631834,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b3_S27_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b3_S27_R1_001.fastq.gz
lib2,PSR_02_bin4,PSR,4,2,210623,809181,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b4_S28_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s2_b4_S28_R1_001.fastq.gz
lib2,PSR_03_bin1,PSR,1,3,210623,212570,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b1_S29_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b1_S29_R1_001.fastq.gz
lib2,PSR_03_bin2,PSR,2,3,210623,2734623,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b2_S30_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b2_S30_R1_001.fastq.gz
lib2,PSR_03_bin3,PSR,3,3,210623,2024807,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b3_S31_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b3_S31_R1_001.fastq.gz
lib2,PSR_03_bin4,PSR,4,3,210623,394498,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b4_S32_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s3_b4_S32_R1_001.fastq.gz
lib2,PSR_04_bin1,PSR,1,4,210623,522992,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b1_S33_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b1_S33_R1_001.fastq.gz
lib2,PSR_04_bin2,PSR,2,4,210623,3416342,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b2_S34_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b2_S34_R1_001.fastq.gz
lib2,PSR_04_bin3,PSR,3,4,210623,1023529,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b3_S35_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b3_S35_R1_001.fastq.gz
lib2,PSR_04_bin4,PSR,4,4,210623,137633,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b4_S36_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s4_b4_S36_R1_001.fastq.gz
lib2,PSR_05_bin1,PSR,1,5,210623,4937652,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b1_S37_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b1_S37_R1_001.fastq.gz
lib2,PSR_05_bin2,PSR,2,5,210623,852436,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b2_S38_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b2_S38_R1_001.fastq.gz
lib2,PSR_05_bin3,PSR,3,5,210623,1912,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b3_S39_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b3_S39_R1_001.fastq.gz
lib2,PSR_05_bin4,PSR,4,5,210623,123,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b4_S40_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib2_s5_b4_S40_R1_001.fastq.gz
lib1,TiteSeq_01_bin1,TiteSeq,1,1,210624,9967,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s01-b1_S53_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s01-b1_S53_R1_001.fastq.gz
lib1,TiteSeq_01_bin2,TiteSeq,2,1,210624,100694,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s01-b2_S54_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s01-b2_S54_R1_001.fastq.gz
lib1,TiteSeq_01_bin3,TiteSeq,3,1,210624,910229,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s01-b3_S55_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s01-b3_S55_R1_001.fastq.gz
lib1,TiteSeq_01_bin4,TiteSeq,4,1,210624,4152079,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s01-b4_S56_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s01-b4_S56_R1_001.fastq.gz
lib1,TiteSeq_02_bin1,TiteSeq,1,2,210624,78772,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s02-b1_S57_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s02-b1_S57_R1_001.fastq.gz
lib1,TiteSeq_02_bin2,TiteSeq,2,2,210624,363643,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s02-b2_S58_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s02-b2_S58_R1_001.fastq.gz
lib1,TiteSeq_02_bin3,TiteSeq,3,2,210624,1099977,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s02-b3_S59_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s02-b3_S59_R1_001.fastq.gz
lib1,TiteSeq_02_bin4,TiteSeq,4,2,210624,3597621,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s02-b4_S60_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s02-b4_S60_R1_001.fastq.gz
lib1,TiteSeq_03_bin1,TiteSeq,1,3,210624,165484,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s03-b1_S61_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s03-b1_S61_R1_001.fastq.gz
lib1,TiteSeq_03_bin2,TiteSeq,2,3,210624,563920,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s03-b2_S62_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s03-b2_S62_R1_001.fastq.gz
lib1,TiteSeq_03_bin3,TiteSeq,3,3,210624,1517930,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s03-b3_S63_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s03-b3_S63_R1_001.fastq.gz
lib1,TiteSeq_03_bin4,TiteSeq,4,3,210624,2863005,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s03-b4_S64_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s03-b4_S64_R1_001.fastq.gz
lib1,TiteSeq_04_bin1,TiteSeq,1,4,210624,292375,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s04-b1_S65_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s04-b1_S65_R1_001.fastq.gz
lib1,TiteSeq_04_bin2,TiteSeq,2,4,210624,715622,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s04-b2_S66_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s04-b2_S66_R1_001.fastq.gz
lib1,TiteSeq_04_bin3,TiteSeq,3,4,210624,2461781,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s04-b3_S67_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s04-b3_S67_R1_001.fastq.gz
lib1,TiteSeq_04_bin4,TiteSeq,4,4,210624,1745862,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s04-b4_S68_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s04-b4_S68_R1_001.fastq.gz
lib1,TiteSeq_05_bin1,TiteSeq,1,5,210624,410552,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s05-b1_S69_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s05-b1_S69_R1_001.fastq.gz
lib1,TiteSeq_05_bin2,TiteSeq,2,5,210624,1513776,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s05-b2_S70_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s05-b2_S70_R1_001.fastq.gz
lib1,TiteSeq_05_bin3,TiteSeq,3,5,210624,3204858,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s05-b3_S71_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s05-b3_S71_R1_001.fastq.gz
lib1,TiteSeq_05_bin4,TiteSeq,4,5,210624,48951,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s05-b4_S72_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s05-b4_S72_R1_001.fastq.gz
lib1,TiteSeq_06_bin1,TiteSeq,1,6,210624,1352339,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s06-b1_S73_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s06-b1_S73_R1_001.fastq.gz
lib1,TiteSeq_06_bin2,TiteSeq,2,6,210624,3598153,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/210624_s06-b2_S74_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/210624_s06-b2_S74_R1_001.fastq.gz
